,top year,top k,ranking,artist,track,release year,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,popularity,top genre
34,2020,0,35,Surf Mesa,ily (i love you baby) (feat. Emilee),2019-11-26,0.674,0.774,-7.567,0.0892,0.0686,0.00188,0.393,0.33,112.05,11,0,2.94245,75.0,dance
35,2020,0,36,Lady Gaga,Rain On Me (with Ariana Grande),2020-05-29,0.672,0.855,-3.764,0.0397,0.021,0.0,0.323,0.646,123.056,9,1,3.0366666666666666,75.0,pop
36,2020,0,37,Travis Scott,HIGHEST IN THE ROOM,2019-10-04,0.598,0.427,-8.764,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,7,0,2.9286833333333333,81.0,hip hop
37,2020,0,38,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,2019-09-06,0.755,0.522,-4.368,0.0575,0.533,0.0,0.0685,0.925,89.96,2,1,2.626,81.0,hip hop
38,2020,0,39,Maluma,Hawái,2020-08-21,0.783,0.727,-3.454,0.389,0.185,2.46e-05,0.0626,0.558,180.067,6,0,3.3185333333333333,77.0,latin
39,2020,0,40,Regard,Ride It,2019-07-26,0.88,0.751,-4.258,0.0874,0.177,6.43e-05,0.106,0.884,117.948,7,0,2.6267666666666667,79.0,dance
40,2020,0,41,Travis Scott,goosebumps,2016-09-16,0.841,0.728,-3.37,0.0484,0.0847,0.0,0.149,0.43,130.049,7,1,4.06395,83.0,hip hop
41,2020,0,42,Black Eyed Peas,RITMO (Bad Boys For Life),2020-11-02,0.732,0.716,-6.968,0.0561,0.0295,0.000758,0.73,0.666,105.093,10,0,3.5809166666666665,63.0,pop
42,2020,0,43,THE SCOTTS,THE SCOTTS,2020-04-24,0.716,0.537,-7.648,0.0514,0.233,0.0,0.157,0.28,129.979,0,0,2.7663,74.0,unknown
43,2020,0,44,Bad Bunny,Safaera,2020-02-29,0.607,0.829,-4.074,0.379,0.0103,0.0,0.107,0.685,96.172,2,1,4.919616666666666,77.0,latin
44,2020,0,45,Billie Eilish,lovely (with Khalid),2018-04-19,0.351,0.296,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,4,0,3.3364333333333334,88.0,pop
45,2020,0,46,Juice WRLD,Lucid Dreams,2018-12-10,0.511,0.566,-7.23,0.2,0.349,0.0,0.34,0.218,83.903,6,0,3.9972666666666665,84.0,hip hop
46,2020,0,47,Ariana Grande,Stuck with U (with Justin Bieber),2020-05-08,0.597,0.45,-6.658,0.0418,0.223,0.0,0.382,0.537,178.765,8,1,3.8080333333333334,80.0,pop
47,2020,0,48,JP Saxe,If the World Was Ending (feat. Julia Michaels),2019-10-17,0.464,0.473,-10.086,0.129,0.866,0.0,0.109,0.604,75.801,1,1,3.4781166666666667,76.0,pop
48,2020,0,49,Dua Lipa,Physical,2020-03-27,0.647,0.844,-3.756,0.0457,0.0137,0.000658,0.102,0.746,146.967,0,1,3.2304833333333334,77.0,pop
49,2020,0,50,Travis Scott,SICKO MODE,2018-08-03,0.834,0.73,-3.714,0.222,0.00513,0.0,0.124,0.446,155.008,8,1,5.213666666666667,81.0,hip hop
